出釈迦寺,,,1,名詞,一般,*,*,*,*,*,*,*
第74番札所,,,1,名詞,一般,*,*,*,*,*,*,*
甲山寺,,,1,名詞,一般,*,*,*,*,*,*,*
第75番札所,,,1,名詞,一般,*,*,*,*,*,*,*
善通寺,,,1,名詞,一般,*,*,*,*,*,*,*
第76番札所,,,1,名詞,一般,*,*,*,*,*,*,*
金倉寺,,,1,名詞,一般,*,*,*,*,*,*,*
第77番札所,,,1,名詞,一般,*,*,*,*,*,*,*
道隆寺,,,1,名詞,一般,*,*,*,*,*,*,*
第78番札所,,,1,名詞,一般,*,*,*,*,*,*,*
郷照寺,,,1,名詞,一般,*,*,*,*,*,*,*
第79番札所,,,1,名詞,一般,*,*,*,*,*,*,*
天皇寺,,,1,名詞,一般,*,*,*,*,*,*,*
第80番札所,,,1,名詞,一般,*,*,*,*,*,*,*
國分寺,,,1,名詞,一般,*,*,*,*,*,*,*
第81番札所,,,1,名詞,一般,*,*,*,*,*,*,*
白峯寺,,,1,名詞,一般,*,*,*,*,*,*,*
第82番札所,,,1,名詞,一般,*,*,*,*,*,*,*
根香寺,,,1,名詞,一般,*,*,*,*,*,*,*
第83番札所,,,1,名詞,一般,*,*,*,*,*,*,*
一宮寺,,,1,名詞,一般,*,*,*,*,*,*,*
第84番札所,,,1,名詞,一般,*,*,*,*,*,*,*
屋島寺,,,1,名詞,一般,*,*,*,*,*,*,*
第85番札所,,,1,名詞,一般,*,*,*,*,*,*,*
八栗寺,,,1,名詞,一般,*,*,*,*,*,*,*
第86番札所,,,1,名詞,一般,*,*,*,*,*,*,*
志度寺,,,1,名詞,一般,*,*,*,*,*,*,*
第87番札所,,,1,名詞,一般,*,*,*,*,*,*,*
長尾寺,,,1,名詞,一般,*,*,*,*,*,*,*
第88番札所,,,1,名詞,一般,*,*,*,*,*,*,*
大窪寺,,,1,名詞,一般,*,*,*,*,*,*,*
山号,,,1,名詞,一般,*,*,*,*,*,*,*
竺和山,,,1,名詞,一般,*,*,*,*,*,*,*
日照山,,,1,名詞,一般,*,*,*,*,*,*,*
亀光山,,,1,名詞,一般,*,*,*,*,*,*,*
黒巖山,,,1,名詞,一般,*,*,*,*,*,*,*
無尽山,,,1,名詞,一般,*,*,*,*,*,*,*
温泉山,,,1,名詞,一般,*,*,*,*,*,*,*
光明山,,,1,名詞,一般,*,*,*,*,*,*,*
普明山,,,1,名詞,一般,*,*,*,*,*,*,*
正覚山,,,1,名詞,一般,*,*,*,*,*,*,*
得度山,,,1,名詞,一般,*,*,*,*,*,*,*
金剛山,,,1,名詞,一般,*,*,*,*,*,*,*
麻盧山,,,1,名詞,一般,*,*,*,*,*,*,*
大栗山,,,1,名詞,一般,*,*,*,*,*,*,*
盛寿山,,,1,名詞,一般,*,*,*,*,*,*,*
薬王山,,,1,名詞,一般,*,*,*,*,*,*,*
光耀山,,,1,名詞,一般,*,*,*,*,*,*,*
瑠璃山,,,1,名詞,一般,*,*,*,*,*,*,*
母養山,,,1,名詞,一般,*,*,*,*,*,*,*
橋池山,,,1,名詞,一般,*,*,*,*,*,*,*
霊鷲山,,,1,名詞,一般,*,*,*,*,*,*,*
舎心山,,,1,名詞,一般,*,*,*,*,*,*,*
白水山,,,1,名詞,一般,*,*,*,*,*,*,*
医王山,,,1,名詞,一般,*,*,*,*,*,*,*
室戸山,,,1,名詞,一般,*,*,*,*,*,*,*
宝珠山,,,1,名詞,一般,*,*,*,*,*,*,*
龍頭山,,,1,名詞,一般,*,*,*,*,*,*,*
竹林山,,,1,名詞,一般,*,*,*,*,*,*,*
法界山,,,1,名詞,一般,*,*,*,*,*,*,*
摩尼山,,,1,名詞,一般,*,*,*,*,*,*,*
百々山,,,1,名詞,一般,*,*,*,*,*,*,*
五台山,,,1,名詞,一般,*,*,*,*,*,*,*
八葉山,,,1,名詞,一般,*,*,*,*,*,*,*
高福山,,,1,名詞,一般,*,*,*,*,*,*,*
本尾山,,,1,名詞,一般,*,*,*,*,*,*,*
醫王山,,,1,名詞,一般,*,*,*,*,*,*,*
独鈷山,,,1,名詞,一般,*,*,*,*,*,*,*
藤井山,,,1,名詞,一般,*,*,*,*,*,*,*
蹉?山,,,1,名詞,一般,*,*,*,*,*,*,*
赤亀山,,,1,名詞,一般,*,*,*,*,*,*,*
平城山,,,1,名詞,一般,*,*,*,*,*,*,*
稲荷山,,,1,名詞,一般,*,*,*,*,*,*,*
一カ山,,,1,名詞,一般,*,*,*,*,*,*,*
源光山,,,1,名詞,一般,*,*,*,*,*,*,*
菅生山,,,1,名詞,一般,*,*,*,*,*,*,*
海岸山,,,1,名詞,一般,*,*,*,*,*,*,*
熊野山,,,1,名詞,一般,*,*,*,*,*,*,*
清瀧山,,,1,名詞,一般,*,*,*,*,*,*,*
西林山,,,1,名詞,一般,*,*,*,*,*,*,*
東山,,,1,名詞,一般,*,*,*,*,*,*,*
瀧雲山,,,1,名詞,一般,*,*,*,*,*,*,*
須賀山,,,1,名詞,一般,*,*,*,*,*,*,*
近見山,,,1,名詞,一般,*,*,*,*,*,*,*
別宮山,,,1,名詞,一般,*,*,*,*,*,*,*
金輪山,,,1,名詞,一般,*,*,*,*,*,*,*
府頭山,,,1,名詞,一般,*,*,*,*,*,*,*
作礼山,,,1,名詞,一般,*,*,*,*,*,*,*
金光山,,,1,名詞,一般,*,*,*,*,*,*,*
石鎚山,,,1,名詞,一般,*,*,*,*,*,*,*
栴檀山,,,1,名詞,一般,*,*,*,*,*,*,*
天養山,,,1,名詞,一般,*,*,*,*,*,*,*
密教山,,,1,名詞,一般,*,*,*,*,*,*,*
石鉄山,,,1,名詞,一般,*,*,*,*,*,*,*
